date,start_time,distance,duration,pace,calories,vo2_max,avg_hr,max_hr,min_hr,elevation,temperature,humidity
2022-09-02,08:23:55,6.71,60.03,8.95,810,48.87,NULL,NULL,NULL,303,NULL,NULL
2022-09-04,08:14:03,6.72,60.04,8.93,789,48.91,NULL,NULL,NULL,128,71,95
2022-09-05,06:26:21,6.89,60.02,8.71,780,48.94,NULL,NULL,NULL,36,NULL,NULL
2022-09-06,06:55:23,6.79,60.05,8.84,779,49.03,NULL,NULL,NULL,33,75,98
2022-09-07,06:52:35,6.79,60.03,8.84,763,49.1,NULL,NULL,NULL,318,69,95
2022-09-13,08:23:25,6.87,60.06,8.74,754,NULL,NULL,NULL,NULL,122,NULL,NULL
2022-09-14,06:53:50,6.74,60.03,8.91,768,49.84,NULL,NULL,NULL,33,59,90
2022-09-15,08:38:30,6.77,60.03,8.87,777,49.82,NULL,NULL,NULL,38,62,90
2022-09-16,06:55:58,6.9,60.02,8.7,783,49.92,NULL,NULL,NULL,1,60,93
2022-09-18,08:17:39,6.85,60.02,8.76,763,50.06,NULL,NULL,NULL,253,64,96
2022-09-20,08:19:46,6.85,60.03,8.76,749,50.36,NULL,NULL,NULL,138,NULL,NULL
2022-09-22,08:19:00,6.76,60.09,8.89,743,NULL,NULL,NULL,NULL,192,68,91
2022-09-24,08:18:20,6.77,60.04,8.87,778,NULL,NULL,NULL,NULL,42,51,93
2022-09-25,06:49:35,6.7,60.08,8.97,747,50.49,NULL,NULL,NULL,308,60,72
2022-09-27,08:24:29,6.82,60.03,8.8,749,50.43,NULL,NULL,NULL,163,NULL,NULL
2022-09-29,08:15:34,6.85,60.02,8.76,749,50.39,NULL,NULL,NULL,185,NULL,NULL
2022-10-02,06:47:08,6.75,60.05,8.9,752,50.41,NULL,NULL,NULL,287,53,96
2022-10-03,06:42:55,6.9,60.02,8.7,782,50.63,NULL,NULL,NULL,37,53,95
2022-10-04,06:34:26,6.91,60.02,8.69,759,50.6,NULL,NULL,NULL,37,48,77
2022-10-08,08:17:31,7.12,60.03,8.43,746,50.37,NULL,NULL,NULL,159,NULL,NULL
2022-10-10,08:15:56,6.94,60.04,8.65,722,50.22,NULL,NULL,NULL,4,NULL,NULL
2022-10-11,05:30:24,6.78,60.05,8.86,748,50.26,NULL,NULL,NULL,40,NULL,NULL
2022-10-15,08:15:52,6.88,60.04,8.73,727,49.62,NULL,NULL,NULL,147,46,93
2022-10-17,08:14:30,6.83,60.03,8.79,728,49.2,NULL,NULL,NULL,170,NULL,NULL
2022-10-19,08:21:43,6.85,60.06,8.77,741,48.83,NULL,NULL,NULL,152,37,77
2022-10-20,08:39:43,6.77,60.02,8.87,797,48.78,NULL,NULL,NULL,59,NULL,NULL
2022-10-21,08:11:35,6.83,60.06,8.79,768,48.93,NULL,NULL,NULL,38,NULL,NULL
2022-10-22,07:53:44,6.8,60.03,8.83,699,48.69,NULL,NULL,NULL,15,30,82
2022-10-24,08:10:08,6.98,60.06,8.6,748,48.68,NULL,NULL,NULL,260,53,97
2022-10-26,08:13:42,6.82,60.04,8.8,724,48.8,NULL,NULL,NULL,148,NULL,NULL
2022-10-28,08:15:01,6.9,60.03,8.7,737,48.85,NULL,NULL,NULL,5,NULL,NULL
2022-10-29,16:36:46,6.92,60.03,8.67,759,49.14,156,168,4,33,63,67
2022-10-30,06:40:34,6.75,60.03,8.89,741,49.15,155,168,142,36,50,83
2022-10-31,06:54:09,6.79,60.0,8.84,751,49.06,153,165,142,37,55,91
2022-11-02,08:15:54,6.78,60.02,8.85,710,NULL,169,176,161,138,NULL,NULL
2022-11-04,08:23:52,6.92,60.03,8.67,742,NULL,154,168,140,215,54,95
2022-11-06,09:08:40,6.87,60.03,8.74,739,49.39,161,172,142,142,NULL,NULL
2022-11-07,08:56:05,6.88,60.03,8.73,756,49.64,155,168,140,35,64,92
2022-11-11,08:33:54,6.85,60.03,8.76,722,NULL,158,171,143,146,70,95
2022-11-13,09:26:13,6.93,60.02,8.66,723,49.95,159,173,144,148,NULL,NULL
2022-11-15,09:25:13,6.5,60.02,9.23,721,49.91,160,5,151,4,NULL,NULL
2022-11-16,08:03:43,6.72,60.02,8.93,750,50.14,155,165,142,40,40,94
2022-11-17,12:15:45,6.88,60.02,8.72,762,NULL,164,173,153,33,45,49
2022-11-19,14:01:48,7.04,60.02,8.53,771,50.2,157,170,136,35,53,46
2022-11-20,08:09:33,6.79,60.05,8.84,742,NULL,153,160,120,306,37,48
2022-11-22,12:52:20,6.9,60.02,8.7,754,50.47,157,5,127,33,53,42
2022-11-24,16:46:15,6.73,60.03,8.92,696,NULL,155,162,148,24,NULL,NULL
2022-11-29,14:42:38,6.57,60.03,9.14,726,50.23,168,177,152,35,61,57
2022-12-05,12:50:36,6.58,60.02,9.12,727,49.83,5,176,160,36,48,60
2022-12-06,13:00:29,6.72,60.03,8.93,751,NULL,164,177,150,35,NULL,NULL
2022-12-08,14:04:00,6.71,60.05,8.95,750,49.41,166,175,155,271,65,72
2022-12-10,14:12:57,6.8,60.07,8.83,755,49.21,163,174,94,36,51,60
2022-12-12,14:23:05,6.79,60.03,8.84,755,49.23,161,174,143,35,52,56
2022-12-13,14:33:10,6.71,60.03,8.95,746,49.65,160,171,119,36,47,51
2022-12-14,14:11:58,6.78,60.03,8.85,747,49.73,158,168,144,36,45,64
2022-12-15,12:56:17,6.7,60.03,8.96,755,49.85,161,173,99,38,NULL,NULL
2022-12-17,13:52:24,7.03,60.03,8.54,775,NULL,164,173,106,40,47,61
